NY #,Index,Address,Architect,Builder,Building Name,City,Exterior Walls,Floor System,Height,Horizontal Framing,Use,Year,Floors,Page #
2,285,79 Laight Street,,,United States Sugar Building,New York,,,90,Wood Joist,Warehouse,1853,10,218
3,2,"154 Printing House Square, Nassau Street and Spruce Street",Richard Morris Hunt,Peter T. O'Brien,Tribune I,New York,Brick bearing walls,tile arches,230,Wrought iron beams ,Office,1874,10,219
4,4,"195 Broadway, corner of Dey Street",George Post,Smith & Rogers,Western Union I,New York,Brick and stone,brick jack arches,230,"15"" wrought-iron girders, 10"" beams, 2-story mansard framed with wrought-iron rafters on king-post trusses",Office,1875,10,220
5,104,202-208 Broadway,Charles Mengleson / George Hathorne / Thomas Stent,,Evening Post Building,New York,,brick arch floors,140,Wrought iron beams,Office,1875,10,221
6,738,64th Street between Avenue A and the East River,Lemle & Co.,John Weber,Neidlinger & Schmidt Malt House,New York,Brick,,93,wood,Factory,1875,10,223
7,105,"140 Nassau Street, corner of Beekman Street",Silliman & Farnsworth,Post & McCord,Morse Building,New York,,Hoyt Patent floor – corrugated iron arches with concrete fill,165,Wrought iron beams,Office,1880,10,224
8,342,2-4 Wall Street,,,United Bank Building,New York,,Fireproof,110,Iron or steel,Office,1880,10,225
9,621,"165-169 Duane Street, 47-53 Hudson Street",Stephen Hatch,,Schepp Building,New York,,,120,,Loft,1881,10,226
10,108,"1 Broadway, corner Battery Place",Edward Kendall,,Washington Building,New York,"Brick, up to 52 inches thick",Flat tile arches,152,Wrought iron beams,Office,1882,11,228
11,361,126-130 West 59th Street,"Hubert, Pirsson & Co",,The Hawthorne,New York,Brick,,100,,Apartment,1882,10,229
12,99,150-180 West 59th Street and 145-175 West 58th Street,"Hubert, Pirsson & Hoddick",Post & McCord,Central Park Apartments / Spanish Flats,New York,,“fireproof”,142.5,“fireproof”,Apartment,1883,10,230
13,106,"35 Wall, 11-21 Broad, 35 Exchange Place",George Post,,Mills Building,New York,,Fireproof,156,Wrought iron beams,Office,1883,10,231
14,107,3-9 Beekman Street,Silliman & Farnsworth,Post & McCord,Temple Court,New York,,,138,,Office,1883,10,232
15,109,121 Madison Avenue,"Hubert, Pirsson & Co and Ernest Flagg",,Hubert Home Club ,New York,Brick,,135.25,,Apartment,1883,11,233
16,279,34 Gramercy Park East,George Da Cuhna,,The Gramercy,New York,,,120,Wood Joist,Apartment,1883,10,234
17,357,"14-20 Broadway, 5-7 Beaver Street",W. Pell Anderson,Post & McCord,Welles Building,New York,Granite and brick,Fireproof,140,Iron or steel,Office,1883,10,235
18,364,"1722 Broadway, NE corner 55th Street",Thom & Wilson,,The Sonoma,New York,,,110,,Apartment,1883,10,236
19,612,"500 Madison Avenue, NW corner 52nd Street",Carl Pfeiffer,,Berkshire Apartments,New York,Brick,,122.6,wood,Apartment,1883,10,237
20,5,2 Broadway,George Post,,Produce Exchange,New York,Brick,Fireproof,123,"wrought-iron girders, wrought iron beams, trusses, etc.",Office,1884,10,241
21,100,1 West 72nd Street,Henry Hardenburgh,Post & McCord,The Dakota,New York,Sandstone and brick,"Flat tile arch, from observation",163,"Bearing walls, wrought iron floors",Apartment,1884,10,242
22,103,243-249 Fifth Avenue SE corner 28th Street,"Charles W. Clinton designer, Ernest Flagg developer",Post & McCord,Knickerbocker Apartments,New York,Brick,,140,,Apartment,1884,11,243
23,616,"640 Madison Ave, 21 East 59th Street",Charles Romeyn & Co.,,Hoffman Arms,New York,,terra cotta,120,iron,Apartment,1884,10,244
24,22,222 West 23rd Street,"Hubert, Pirsson & Co","J. B. & J. M. Cornell, Post & McCord",Chelsea Hotel,New York,Brick,,140,Iron beams,Hotel,1885,12,250
25,101,"205 West 57th Street, 902 Seventh Avenue",James E. Ware,"Thomas Osborne, possibly",The Osborne,New York,,,182,,Apartment,1886,11,253
26,110,"38 Park Row, corner Beekman Street",Norris G. Starkweather,Jackson Iron Works,Potter Building,New York,Brick and terra cotta,Tile arch,165,Wrought iron beams,Office,1886,11,254
